"","LL","npar","lab","R2","names","aicc_marg","aicc","deltaAIC","AICweight","rank","AICw_std","cumlAIC","topSet","deltaAIC_marg","AICweight_marg","rank_marg","AICw_std_marg","cumlAIC_marg","topSet_marg"
"RS1_3_8_BLM",-48.6988,5,72,0.088592565254591,"RS1_3_8_BLM",-72.1573577153023,109.215781818182,3.96766753246753,0.137540925490062,51,0.00607761200324908,0.751596511329499,"*o",45.0865854853344,1.62021391572911e-10,47,1.62019125806583e-10,1.27907384225603e-05,"o"
"RS1_1_8_LM",-50.0505,4,88,0.109546765185337,"RS1_1_8_LM",-78.5174675661261,109.277470588235,4.02935630252101,0.133363319275567,52,0.00589301334954948,0.757489524679049,"*o",38.7264756345107,3.89630247345736e-09,30,3.8962479861402e-09,1.27946346705464e-05,"o"
"RS1_9_LM",-51.2975,3,31,0.0183305723542444,"RS1_9_LM",-87.0170438517027,109.280714285714,4.0326,0.133147199448513,53,0.00588346351955986,0.763372988198609,"o",30.2268993489341,2.73094028460606e-07,6,2.73090209413947e-07,1.30677248799604e-05,"o"
"RS1_1_6_9_LM",-48.7376,5,67,0.157708549992141,"RS1_1_6_9_LM",-69.0014890449388,109.293381818182,4.04526753246753,0.132306541289018,54,0.00584631680048281,0.769219304999092,"o",48.242454155698,3.34413794238711e-11,64,3.34409117674047e-11,1.30677583208722e-05,"o"
"RS1_1_3_8_10_LM",-47.3435,6,136,0.218597035734987,"RS1_1_3_8_10_LM",-61.1350492643792,109.312,4.06388571428572,0.131080602708361,55,0.00579214544016591,0.775011450439258,"o",56.1088939362575,6.54799725825441e-13,105,6.54790568866868e-13,1.30677589756627e-05,"o"
"RS1_1_6",-48.7548,5,59,0.110696408522364,"RS1_1_6",-68.9617788044132,109.327781818182,4.07966753246754,0.130050327837438,56,0.00574662000182921,0.780758070441087,"o",48.2821643962236,3.27839451301279e-11,65,3.27834866674628e-11,1.30677917591494e-05,"o"
"RS1_1_3_5_BLM",-47.3686,6,99,0.16917989498433,"RS1_1_3_5_BLM",-62.7275438998514,109.3622,4.11408571428572,0.127831427314203,57,0.00564857197426228,0.786406642415349,"o",54.5163993007854,1.45182511587416e-12,94,1.45180481302137e-12,1.30677932109542e-05,"o"
"RS1_1_3_LM",-50.0943,4,97,0.105097402822979,"RS1_1_3_LM",-79.066743375959,109.365070588235,4.116956302521,0.127648083226349,58,0.00564047042757651,0.792047112842926,"o",38.1771998246778,5.12774465754184e-09,25,5.12767294928732e-09,1.30729208839035e-05,"o"
"RS1_1_6_8_10",-45.9111,7,116,0.217683024156623,"RS1_1_6_8_10",-49.3780418790199,109.435103225806,4.18698894009216,0.123255669139012,59,0.00544637991607728,0.797493492759003,"o",67.8659013216169,1.83276496076391e-15,137,1.83273933070916e-15,1.30729208857362e-05,"o"
"RS1_3_6_BLM",-48.8274,5,48,0.0808309009329017,"RS1_3_6_BLM",-71.9627741260107,109.472981818182,4.22486753246753,0.120943260332772,60,0.00534419997605471,0.802837692735058,"o",45.2811690746261,1.47000586801176e-10,49,1.46998531091269e-10,1.30730678842673e-05,"o"
"RS1_1_3_6_10",-45.9379,7,122,0.216675469711618,"RS1_1_3_6_10",-50.1579316344721,109.488703225806,4.24058894009217,0.119996287995895,61,0.00530235548198254,0.80814004821704,"o",67.0860115661646,2.70680943714595e-15,136,2.70677158413395e-15,1.30730678869741e-05,"o"
"RS1_1_6_7_LM",-48.8821,5,64,0.132475690177132,"RS1_1_6_7_LM",-69.7247823226094,109.582381818182,4.33426753246754,0.114505346101645,62,0.00505972359444266,0.813199771811483,"o",47.5191608780273,4.80115053470007e-11,62,4.80108339365707e-11,1.3073115897808e-05,"o"
"RS1_3_6_LM",-50.2193,4,49,0.0468029203765479,"RS1_3_6_LM",-79.17482132277,109.615070588235,4.366956302521,0.112649038068114,63,0.00497769768145628,0.818177469492939,"o",38.0691218778668,5.41246646795822e-09,24,5.41239077804989e-09,1.30785282885861e-05,"o"
"RS1_1_3_BLM",-48.9384,5,96,0.117443220272401,"RS1_1_3_BLM",-72.431019413224,109.694981818182,4.44686753246754,0.108236810093608,64,0.00478273164059694,0.822960201133536,"o",44.8129237874127,1.857792651046e-10,46,1.85776667099489e-10,1.30787140652532e-05,"o"
"RS1_8_LM",-51.521,3,28,0.00896138378559293,"RS1_8_LM",-87.6798491144399,109.727714285714,4.4796,0.10647979820944,65,0.00470509339235176,0.827665294525888,"o",29.5640940861968,3.80398274196354e-07,5,3.80392954567924e-07,1.34591070198211e-05,"o"
"RS1_6_8_LM",-50.3425,4,37,0.0378821000938483,"RS1_6_8_LM",-79.0479236272385,109.861470588235,4.61335630252101,0.0995915306879624,66,0.00440071695151451,0.832066011477402,"o",38.1960195733982,5.07971953411956e-09,26,5.07964849746591e-09,1.34641866683186e-05,"o"
"RS1_7_LM",-51.6078,3,25,0.00215948448565111,"RS1_7_LM",-87.8931108807889,109.901314285714,4.6532,0.0976271156369496,67,0.00431391404211965,0.836379925519522,"o",29.3508323198479,4.23202029874519e-07,4,4.23196111662732e-07,1.38873827799813e-05,"o"
"RS1_BH",-51.6202,3,1,NA,"RS1_BH",-117.243943200637,109.926114285714,4.678,0.0964240140486014,68,0.00426075179511266,0.840640677314635,"o",0,1,1,0.999986015634687,0.999999903017467,"o"
"RS1_1_6_8_LM",-49.0718,5,40,0.12660967213183,"RS1_1_6_8_LM",-70.1595153649203,109.961781818182,4.71366753246754,0.0947196534781861,69,0.00418544008535273,0.844826117399987,"o",47.0844278357165,5.96686763274047e-11,58,5.96678418988372e-11,0.999999903077135,""
"RS1_1_3_6_LM",-49.0902,5,103,0.131145045276669,"RS1_1_3_6_LM",-70.8610623918443,109.998581818182,4.75046753246754,0.0929927481051019,70,0.00410913217346006,0.848935249573447,"o",46.3828808087924,8.47394039692323e-11,55,8.47382189424508e-11,0.999999903161873,""
"RS1_3_8_LM",-50.4271,4,73,0.0390300110112661,"RS1_3_8_LM",-80.1334761103323,110.030670588235,4.78255630252102,0.0915126420960411,71,0.00404372974858399,0.852978979322031,"o",37.1104670903045,8.74106723774238e-09,19,8.74094499946491e-09,0.999999911902818,""
"RS1_1_3_8_10_BLM",-46.2106,7,135,0.211989422505449,"RS1_1_3_8_10_BLM",-54.1989174033134,110.034103225806,4.78598894009217,0.0913557119389054,72,0.00403679537175555,0.857015774693787,"o",63.0450257973233,2.04148687621344e-14,130,2.04145832731519e-14,0.999999911902839,""
"RS1_2",-50.4679,4,8,0.065950774529989,"RS1_2",-78.9695665425105,110.112270588235,4.86415630252101,0.0878540686990433,73,0.00388206594187964,0.860897840635667,"o",38.2743766581262,4.8845516869409e-09,28,4.88448337958572e-09,0.999999916787322,""
"RS1_1_6_9_BLM",-47.7457,6,66,0.163243387687671,"RS1_1_6_9_BLM",-62.4052194353439,110.1164,4.86828571428572,0.0876728630192016,74,0.0038740588864455,0.864771899522112,"o",54.8387237652929,1.2357267187847e-12,98,1.23570943793083e-12,0.999999916788558,""
"RS1_3_8",-49.1778,5,71,0.0743217795080303,"RS1_3_8",-70.1141394529509,110.173781818182,4.92566753246753,0.0851931909954915,75,0.00376448797581126,0.868536387497923,"o",47.1298037476858,5.83301575682136e-11,60,5.83293418579814e-11,0.999999916846887,""
"RS1_3_6",-49.1796,5,47,0.0677836847749678,"RS1_3_6",-69.7804108610852,110.177381818182,4.92926753246753,0.0850399811818982,76,0.00375771799226788,0.872294105490191,"o",47.4635323395516,4.93656553291354e-11,61,4.93649649817773e-11,0.999999916896252,""
"RS1_1_8_BLM",-49.2428,5,87,0.123562417320651,"RS1_1_8_BLM",-72.5761412666568,110.303781818182,5.05566753246754,0.0798317673831715,77,0.00352757919840818,0.875821684688599,"o",44.6678019339799,1.99760699753929e-10,45,1.99757906227329e-10,0.99999991709601,""
"RS1_6_8_BLM",-49.2974,5,36,0.0595912125250407,"RS1_6_8_BLM",-72.5769236114685,110.412981818182,5.16486753246754,0.075589812041487,78,0.00334013710719053,0.87916182179579,"o",44.6670195891682,1.99838855912716e-10,44,1.99836061293151e-10,0.999999917295846,""
"RS1_9",-50.6307,4,29,0.0284748843461565,"RS1_9",-78.8727598559868,110.437870588235,5.189756302521,0.0746549721345044,79,0.00329882871683653,0.882460650512626,"o",38.3711833446499,4.65375380870806e-09,29,4.65368872891472e-09,0.999999921949535,""
"RS1_8_BLM",-50.6441,4,27,0.0315877806767488,"RS1_8_BLM",-81.7539314559298,110.464670588235,5.21655630252101,0.073661268193386,80,0.00325491926240543,0.885715569775032,"o",35.490011744707,1.96535889340626e-08,16,1.96533140910952e-08,0.999999941602849,""
"RS1_3_6_8_10",-46.4498,7,113,0.176694950496611,"RS1_3_6_8_10",-51.72054284745,110.512503225806,5.26438894009218,0.0719204616396131,81,0.00317799708983135,0.888893566864863,"o",65.5234003531867,5.91254413401673e-15,134,5.91246145083963e-15,0.999999941602855,""
"RS1_1_5_8",-47.9475,6,89,0.138102623853661,"RS1_1_5_8",-60.7012104810483,110.52,5.27188571428572,0.071651380534339,82,0.0031661070247512,0.892059673889614,"o",56.5427327195885,5.27110410989477e-13,108,5.2710303968493e-13,0.999999941603382,""
