"","sp","type","rcp","timeF","sp2","type2","rcp2","timeF2","noCapRB","noCapRBsd","CapRB","CapRBsd","deltaRB","noCapRC","noCapRCsd","CapRC","CapRCsd","deltaRC","sp","type","rcp","timeF","sp2","type2","rcp2","timeF2","noCapRB","noCapRBsd","CapRB","CapRBsd","deltaRB","noCapRC","noCapRCsd","CapRC","CapRCsd","deltaRC","sp","type","rcp","timeF","sp2","type2","rcp2","timeF2","noCapRB","noCapRBsd","CapRB","CapRBsd","deltaRB","noCapRC","noCapRCsd","CapRC","CapRCsd","deltaRC"
"13",1,"10% decline","rcp85","(2017,2025]",1,"10% decline","rcp85","(2017,2025]",16.67,6.8,4.17,2.7,-12.5,12.5,4.8,0,0,-12.5,1,"50% decline","rcp85","(2017,2025]",1,"50% decline","rcp85","(2017,2025]",0,0,0,0,0,0,0,0,0,0,1,"80% decline","rcp85","(2017,2025]",1,"80% decline","rcp85","(2017,2025]",0,0,0,0,0,0,0,0,0,0
"14",1,"10% decline","rcp85","(2025,2050]",1,"10% decline","rcp85","(2025,2050]",68,7,58.67,7,-9.33,65.33,5.6,32,16.3,-33.33,1,"50% decline","rcp85","(2025,2050]",1,"50% decline","rcp85","(2025,2050]",38.67,9.3,32,14.8,-6.67,34.67,9.6,17.33,22.6,-17.34,1,"80% decline","rcp85","(2025,2050]",1,"80% decline","rcp85","(2025,2050]",8,41.1,14.67,18.7,6.67,8,41.8,6.67,0,-1.33
"15",1,"10% decline","rcp85","(2050,2075]",1,"10% decline","rcp85","(2050,2075]",88,3.4,98.67,2.6,10.67,86.67,3.6,70.67,5.9,-16,1,"50% decline","rcp85","(2050,2075]",1,"50% decline","rcp85","(2050,2075]",64,8,69.33,6,5.33,64,7.5,50.67,12,-13.33,1,"80% decline","rcp85","(2050,2075]",1,"80% decline","rcp85","(2050,2075]",42.67,19.5,48,10.2,5.33,40,17.8,36,16,-4
"16",1,"10% decline","rcp85","(2075,2100]",1,"10% decline","rcp85","(2075,2100]",100,0.3,100,0,0,100,0.5,98.61,1.1,-1.39,1,"50% decline","rcp85","(2075,2100]",1,"50% decline","rcp85","(2075,2100]",98.61,2.3,98.61,0.7,0,95.83,3.6,94.44,4,-1.39,1,"80% decline","rcp85","(2075,2100]",1,"80% decline","rcp85","(2075,2100]",80.56,10.9,94.44,3.7,13.88,77.78,10.9,72.22,8,-5.56
"17",2,"10% decline","rcp85","(2017,2025]",2,"10% decline","rcp85","(2017,2025]",4.17,3.8,4.17,3.8,0,4.17,2.2,8.33,5.8,4.16,2,"50% decline","rcp85","(2017,2025]",2,"50% decline","rcp85","(2017,2025]",0,0,0,0,0,0,0,0,0,0,2,"80% decline","rcp85","(2017,2025]",2,"80% decline","rcp85","(2017,2025]",0,0,0,0,0,0,0,0,0,0
"18",2,"10% decline","rcp85","(2025,2050]",2,"10% decline","rcp85","(2025,2050]",48,8.6,45.33,9.4,-2.67,45.33,7,40,8.1,-5.33,2,"50% decline","rcp85","(2025,2050]",2,"50% decline","rcp85","(2025,2050]",18.67,30.1,18.67,27.2,0,17.33,24,14.67,16.4,-2.66,2,"80% decline","rcp85","(2025,2050]",2,"80% decline","rcp85","(2025,2050]",0,0,0,0,0,0,0,0,0,0
"19",2,"10% decline","rcp85","(2050,2075]",2,"10% decline","rcp85","(2050,2075]",88,7.3,82.67,8.9,-5.33,84,6.8,84,8.9,0,2,"50% decline","rcp85","(2050,2075]",2,"50% decline","rcp85","(2050,2075]",54.67,23.1,53.33,28.7,-1.34,52,17.6,52,21.3,0,2,"80% decline","rcp85","(2050,2075]",2,"80% decline","rcp85","(2050,2075]",33.33,110,28,155.9,-5.32999999999999,32,72.9,30.67,91.2,-1.33
"20",2,"10% decline","rcp85","(2075,2100]",2,"10% decline","rcp85","(2075,2100]",100,2.8,100,3.3,0,97.22,4,97.22,4.4,0,2,"50% decline","rcp85","(2075,2100]",2,"50% decline","rcp85","(2075,2100]",90.28,18.6,86.11,19.6,-4.17,83.33,16.5,81.94,18.5,-1.39,2,"80% decline","rcp85","(2075,2100]",2,"80% decline","rcp85","(2075,2100]",58.33,54.2,54.17,66.2,-4.16000000000001,55.56,46.8,54.17,52,-1.39
"21",3,"10% decline","rcp85","(2017,2025]",3,"10% decline","rcp85","(2017,2025]",29.17,7.8,33.33,7.6,4.16,33.33,6.6,37.5,19.8,4.17,3,"50% decline","rcp85","(2017,2025]",3,"50% decline","rcp85","(2017,2025]",0,0,0,0,0,0,0,0,0,0,3,"80% decline","rcp85","(2017,2025]",3,"80% decline","rcp85","(2017,2025]",0,0,0,0,0,0,0,0,0,0
"22",3,"10% decline","rcp85","(2025,2050]",3,"10% decline","rcp85","(2025,2050]",65.33,19.4,65.33,14.7,0,65.33,15.8,14.67,3.5,-50.66,3,"50% decline","rcp85","(2025,2050]",3,"50% decline","rcp85","(2025,2050]",1.33,9.4,0,0,-1.33,2.67,8.5,0,0,-2.67,3,"80% decline","rcp85","(2025,2050]",3,"80% decline","rcp85","(2025,2050]",0,0,0,0,0,0,0,0,0,0
"23",3,"10% decline","rcp85","(2050,2075]",3,"10% decline","rcp85","(2050,2075]",93.33,19.1,85.33,16.7,-8,90.67,14.7,1.33,2.3,-89.34,3,"50% decline","rcp85","(2050,2075]",3,"50% decline","rcp85","(2050,2075]",33.33,37.3,2.67,4.8,-30.66,41.33,31.1,0,0,-41.33,3,"80% decline","rcp85","(2050,2075]",3,"80% decline","rcp85","(2050,2075]",0,0,0,0,0,0,0,0,0,0
"24",3,"10% decline","rcp85","(2075,2100]",3,"10% decline","rcp85","(2075,2100]",100,17.9,97.22,19.9,-2.78,100,13.9,0,0,-100,3,"50% decline","rcp85","(2075,2100]",3,"50% decline","rcp85","(2075,2100]",66.67,45.7,52.78,61.4,-13.89,69.44,36.3,0,0,-69.44,3,"80% decline","rcp85","(2075,2100]",3,"80% decline","rcp85","(2075,2100]",0,0,0,0,0,27.78,56.5,0,0,-27.78
