Location,Station,Log2 Body mass (g) ,del15N,del15Nbaseline,TLbaseline,TLscaled,TLconstant,Reference and data source,
North Sea,4,8.5,16.049,8.589,2.5,5.103987196,4.694117647,Jennings and Warr 2003,
North Sea,4,10.5,14.46,8.589,2.5,4.34355674,4.226764706,Jennings and Warr 2003,
North Sea,5,5.5,13.663,8.844,2.5,3.959920996,3.917352941,Jennings and Warr 2003,
North Sea,5,6.5,12.642,8.844,2.5,3.589721508,3.617058824,Jennings and Warr 2003,
North Sea,5,7.5,15.451,8.844,2.5,4.734732755,4.443235294,Jennings and Warr 2003,
North Sea,5,8.5,12.947,8.844,2.5,3.695864188,3.706764706,Jennings and Warr 2003,
North Sea,5,9.5,15.723,8.844,2.5,4.871099447,4.523235294,Jennings and Warr 2003,
North Sea,6,5.5,14.333,10.637,2.5,3.760221427,3.587058824,Jennings and Warr 2003,
North Sea,6,6.5,14.561,10.637,2.5,3.857097758,3.654117647,Jennings and Warr 2003,
North Sea,6,7.5,15.495,10.637,2.5,4.288002854,3.928823529,Jennings and Warr 2003,
North Sea,6,8.5,14.825,10.637,2.5,3.973089364,3.731764706,Jennings and Warr 2003,
North Sea,6,9.5,14.374,10.637,2.5,3.777425779,3.599117647,Jennings and Warr 2003,
North Sea,7,5.5,13.099,7.892,2.5,3.973323908,4.031470588,Jennings and Warr 2003,
North Sea,7,6.5,13.742,7.892,2.5,4.21365519,4.220588235,Jennings and Warr 2003,
North Sea,7,7.5,12.795,7.892,2.5,3.865732122,3.942058824,Jennings and Warr 2003,
North Sea,7,8.5,12.593,7.892,2.5,3.796203309,3.882647059,Jennings and Warr 2003,
North Sea,7,9.5,13.704,7.892,2.5,4.198935318,4.209411765,Jennings and Warr 2003,
North Sea,8,5.5,13.329,7.145,2.5,4.22200308,4.318823529,Jennings and Warr 2003,
North Sea,8,6.5,14.092,7.145,2.5,4.51732477,4.543235294,Jennings and Warr 2003,
North Sea,8,7.5,14.222,7.145,2.5,4.570496518,4.581470588,Jennings and Warr 2003,
North Sea,8,8.5,14.451,7.145,2.5,4.666380914,4.648823529,Jennings and Warr 2003,
North Sea,9,5.5,13.78,7.173,2.5,4.38720444,4.443235294,Jennings and Warr 2003,
North Sea,9,6.5,15.22,7.173,2.5,5.005315887,4.866764706,Jennings and Warr 2003,
North Sea,9,7.5,16.391,7.173,2.5,5.615124805,5.211176471,Jennings and Warr 2003,
North Sea,9,8.5,16.066,7.173,2.5,5.433819335,5.115588235,Jennings and Warr 2003,
North Sea,10,5.5,15.222,8.36,2.5,4.739732516,4.518235294,Jennings and Warr 2003,
North Sea,10,6.5,15.556,8.36,2.5,4.902121229,4.616470588,Jennings and Warr 2003,
North Sea,10,7.5,16.007,8.36,2.5,5.13545562,4.749117647,Jennings and Warr 2003,
North Sea,10,8.5,14.76,8.36,2.5,4.527969908,4.382352941,Jennings and Warr 2003,
North Sea,10,9.5,16.681,8.36,2.5,5.519598469,4.947352941,Jennings and Warr 2003,
North Sea,11,5.5,14.973,8.648,2.5,4.555666655,4.360294118,Jennings and Warr 2003,
North Sea,11,6.5,16.047,8.648,2.5,5.088818098,4.676176471,Jennings and Warr 2003,
North Sea,11,7.5,16.107,8.648,2.5,5.121414328,4.693823529,Jennings and Warr 2003,
North Sea,11,9.5,14.593,8.648,2.5,4.38658428,4.248529412,Jennings and Warr 2003,
North Sea,11,10.5,16.703,8.648,2.5,5.464770666,4.869117647,Jennings and Warr 2003,
North Sea,11,11.5,17.407,8.648,2.5,5.92482305,5.076176471,Jennings and Warr 2003,
North Sea,12,5.5,14.294,9.456,2.5,4.06009796,3.922941176,Jennings and Warr 2003,
North Sea,12,6.5,14.508,9.456,2.5,4.150468993,3.985882353,Jennings and Warr 2003,
North Sea,12,7.5,13.981,9.456,2.5,3.93238307,3.830882353,Jennings and Warr 2003,
North Sea,12,8.5,15.148,9.456,2.5,4.437171466,4.174117647,Jennings and Warr 2003,
North Sea,12,9.5,16.651,9.456,2.5,5.233796659,4.616176471,Jennings and Warr 2003,
North Sea,13,5.5,11.846,6.761,2.5,3.797824587,3.995588235,Jennings and Warr 2003,
North Sea,13,6.5,13.092,6.761,2.5,4.217086999,4.362058824,Jennings and Warr 2003,
North Sea,13,7.5,13.649,6.761,2.5,4.424032249,4.525882353,Jennings and Warr 2003,
North Sea,13,8.5,14.159,6.761,2.5,4.62611363,4.675882353,Jennings and Warr 2003,
North Sea,13,9.5,13.952,6.761,2.5,4.542536862,4.615,Jennings and Warr 2003,
North Sea,13,10.5,15.61,6.761,2.5,5.28322524,5.102647059,Jennings and Warr 2003,
North Sea,14,5.5,12.267,6.109,2.5,4.067147553,4.311176471,Jennings and Warr 2003,
North Sea,14,6.5,12.923,6.109,2.5,4.290631587,4.504117647,Jennings and Warr 2003,
North Sea,14,7.5,12.781,6.109,2.5,4.240904799,4.462352941,Jennings and Warr 2003,
