Location,Station,Log2 Body mass (g) ,del15N,del15Nbaseline,TLbaseline,TLscaled,TLconstant,Reference and data source,
North Sea,45,5.5,12.064,6.341,2.5,3.954105686,4.183235294,Jennings and Warr 2003,
North Sea,45,6.5,11.889,6.341,2.5,3.898214973,4.131764706,Jennings and Warr 2003,
North Sea,45,7.5,11.403,6.341,2.5,3.747964578,3.988823529,Jennings and Warr 2003,
North Sea,45,8.5,12.651,6.341,2.5,4.149100156,4.355882353,Jennings and Warr 2003,
North Sea,45,9.5,13.757,6.341,2.5,4.552572835,4.681176471,Jennings and Warr 2003,
North Sea,46,5.5,11.772,5.975,2.5,3.935147879,4.205,Jennings and Warr 2003,
North Sea,46,6.5,11.562,5.975,2.5,3.870101819,4.143235294,Jennings and Warr 2003,
North Sea,46,7.5,12.277,5.975,2.5,4.097245348,4.353529412,Jennings and Warr 2003,
North Sea,46,8.5,12.514,5.975,2.5,4.176267135,4.423235294,Jennings and Warr 2003,
North Sea,46,9.5,12.65,5.975,2.5,4.222516484,4.463235294,Jennings and Warr 2003,
North Sea,46,11.5,14.153,5.975,2.5,4.784225215,4.905294118,Jennings and Warr 2003,
North Sea,47,5.5,12.114,5.45,2.5,4.146914547,4.46,Jennings and Warr 2003,
North Sea,47,6.5,11.471,5.45,2.5,3.945222447,4.270882353,Jennings and Warr 2003,
North Sea,47,7.5,11.577,5.45,2.5,3.977603003,4.302058824,Jennings and Warr 2003,
North Sea,47,8.5,12.49,5.45,2.5,4.271073846,4.570588235,Jennings and Warr 2003,
North Sea,47,9.5,13.755,5.45,2.5,4.728452817,4.942647059,Jennings and Warr 2003,
North Sea,47,10.5,15.263,5.45,2.5,5.376741831,5.386176471,Jennings and Warr 2003,
North Sea,47,11.5,13.198,5.45,2.5,4.518909521,4.778823529,Jennings and Warr 2003,
North Sea,48,5.5,10.816,5.492,2.5,3.744027801,4.065882353,Jennings and Warr 2003,
North Sea,48,6.5,10.617,5.492,2.5,3.687616055,4.007352941,Jennings and Warr 2003,
North Sea,48,7.5,10.414,5.492,2.5,3.631084092,3.947647059,Jennings and Warr 2003,
North Sea,48,8.5,10.968,5.492,2.5,3.787801054,4.110588235,Jennings and Warr 2003,
North Sea,48,9.5,11.589,5.492,2.5,3.97317921,4.293235294,Jennings and Warr 2003,
North Sea,48,10.5,10.01,5.492,2.5,3.521484137,3.828823529,Jennings and Warr 2003,
North Sea,49,5.5,10.68,5.204,2.5,3.760569813,4.110588235,Jennings and Warr 2003,
North Sea,49,6.5,11.718,5.204,2.5,4.068285564,4.415882353,Jennings and Warr 2003,
North Sea,49,7.5,11.964,5.204,2.5,4.145798173,4.488235294,Jennings and Warr 2003,
North Sea,49,8.5,11.597,5.204,2.5,4.030842192,4.380294118,Jennings and Warr 2003,
North Sea,49,9.5,12.153,5.204,2.5,4.206662054,4.543823529,Jennings and Warr 2003,
North Sea,49,10.5,13.438,5.204,2.5,4.654601089,4.921764706,Jennings and Warr 2003,
North Sea,49,11.5,12.743,5.204,2.5,4.404526349,4.717352941,Jennings and Warr 2003,
North Sea,50,5.5,11.333,5.463,2.5,3.901046941,4.226470588,Jennings and Warr 2003,
North Sea,50,6.5,12.659,5.463,2.5,4.32599177,4.616470588,Jennings and Warr 2003,
North Sea,50,7.5,11.957,5.463,2.5,4.09396557,4.41,Jennings and Warr 2003,
North Sea,50,8.5,11.899,5.463,2.5,4.075532073,4.392941176,Jennings and Warr 2003,
North Sea,50,9.5,12.95,5.463,2.5,4.427372525,4.702058824,Jennings and Warr 2003,
North Sea,50,10.5,13.407,5.463,2.5,4.593416517,4.836470588,Jennings and Warr 2003,
North Sea,50,11.5,13.967,5.463,2.5,4.809475905,5.001176471,Jennings and Warr 2003,
North Sea,50,12.5,13.357,5.463,2.5,4.57482126,4.821764706,Jennings and Warr 2003,
North Sea,51,5.5,12.127,7.587,2.5,3.709698613,3.835294118,Jennings and Warr 2003,
North Sea,51,6.5,12.24,7.587,2.5,3.74655431,3.868529412,Jennings and Warr 2003,
North Sea,51,7.5,12.882,7.587,2.5,3.964470392,4.057352941,Jennings and Warr 2003,
North Sea,51,8.5,12.989,7.587,2.5,4.002288262,4.088823529,Jennings and Warr 2003,
North Sea,52,5.5,11.476,6.621,2.5,3.712477962,3.927941176,Jennings and Warr 2003,
North Sea,52,6.5,11.746,6.621,2.5,3.795656423,4.007352941,Jennings and Warr 2003,
North Sea,52,7.5,12.125,6.621,2.5,3.916214338,4.118823529,Jennings and Warr 2003,
North Sea,52,8.5,13.164,6.621,2.5,4.272290925,4.424411765,Jennings and Warr 2003,
North Sea,52,9.5,12.773,6.621,2.5,4.133567139,4.309411765,Jennings and Warr 2003,
North Sea,52,10.5,13.629,6.621,2.5,4.445563241,4.561176471,Jennings and Warr 2003,
North Sea,53,5.5,11.487,5.875,2.5,3.867048468,4.150588235,Jennings and Warr 2003,
North Sea,53,6.5,11.616,5.875,2.5,3.906559617,4.188529412,Jennings and Warr 2003,
North Sea,53,7.5,11.545,5.875,2.5,3.884752407,4.167647059,Jennings and Warr 2003,
North Sea,53,8.5,11.42,5.875,2.5,3.846719402,4.130882353,Jennings and Warr 2003,
North Sea,53,10.5,13.481,5.875,2.5,4.540606397,4.737058824,Jennings and Warr 2003,
North Sea,53,11.5,13.761,5.875,2.5,4.647746446,4.819411765,Jennings and Warr 2003,
North Sea,54,5.5,10.142,4.461,2.5,3.750221832,4.170882353,Jennings and Warr 2003,
North Sea,54,6.5,11.52,4.461,2.5,4.145381357,4.576176471,Jennings and Warr 2003,
North Sea,54,7.5,11.512,4.461,2.5,4.142939441,4.573823529,Jennings and Warr 2003,
North Sea,54,8.5,12.352,4.461,2.5,4.410170825,4.820882353,Jennings and Warr 2003,
North Sea,54,9.5,13.284,4.461,2.5,4.735605814,5.095,Jennings and Warr 2003,
North Sea,54,10.5,13.448,4.461,2.5,4.796485942,5.143235294,Jennings and Warr 2003,
North Sea,54,11.5,12.935,4.461,2.5,4.609806575,4.992352941,Jennings and Warr 2003,
North Sea,54,13.5,14.19,4.461,2.5,5.087517164,5.361470588,Jennings and Warr 2003,
North Sea,55,5.5,9.242,5.354,2.5,3.349588208,3.643529412,Jennings and Warr 2003,
North Sea,55,6.5,11.852,5.354,2.5,4.081641454,4.411176471,Jennings and Warr 2003,
North Sea,55,7.5,11.258,5.354,2.5,3.899597563,4.236470588,Jennings and Warr 2003,
North Sea,55,8.5,13.032,5.354,2.5,4.477503155,4.758235294,Jennings and Warr 2003,
North Sea,55,9.5,14.012,5.354,2.5,4.848461511,5.046470588,Jennings and Warr 2003,
North Sea,55,10.5,12.568,5.354,2.5,4.315909965,4.621764706,Jennings and Warr 2003,
North Sea,55,11.5,13.066,5.354,2.5,4.489673567,4.768235294,Jennings and Warr 2003,
North Sea,56,5.5,11.576,5.296,2.5,4.006858231,4.347058824,Jennings and Warr 2003,
North Sea,56,6.5,12.54,5.296,2.5,4.317518223,4.630588235,Jennings and Warr 2003,
North Sea,56,7.5,10.797,5.296,2.5,3.776270949,4.117941176,Jennings and Warr 2003,
North Sea,56,8.5,11.72,5.296,2.5,4.051377963,4.389411765,Jennings and Warr 2003,
North Sea,56,9.5,11.333,5.296,2.5,3.933117342,4.275588235,Jennings and Warr 2003,
North Sea,56,10.5,14.199,5.296,2.5,4.935546765,5.118529412,Jennings and Warr 2003,
North Sea,56,11.5,14.323,5.296,2.5,4.986952506,5.155,Jennings and Warr 2003,
North Sea,56,12.5,16.845,5.296,2.5,6.267619455,5.896764706,Jennings and Warr 2003,
North Sea,57,5.5,10.649,4.788,2.5,3.829904429,4.223823529,Jennings and Warr 2003,
North Sea,57,7.5,11.744,4.788,2.5,4.154470736,4.545882353,Jennings and Warr 2003,
North Sea,57,8.5,12.423,4.788,2.5,4.373765559,4.745588235,Jennings and Warr 2003,
North Sea,57,9.5,13.594,4.788,2.5,4.791625808,5.09,Jennings and Warr 2003,
North Sea,57,10.5,13.995,4.788,2.5,4.948356529,5.207941176,Jennings and Warr 2003,
North Sea,57,11.5,14.083,4.788,2.5,4.983810741,5.233823529,Jennings and Warr 2003,
North Sea,57,13.5,13.68,4.788,2.5,4.824593802,5.115294118,Jennings and Warr 2003,
North Sea,58,5.5,10.981,5.192,2.5,3.849055268,4.202647059,Jennings and Warr 2003,
North Sea,58,6.5,13.116,5.192,2.5,4.538567573,4.830588235,Jennings and Warr 2003,
North Sea,58,7.5,11.958,5.192,2.5,4.146164387,4.49,Jennings and Warr 2003,
North Sea,58,8.5,11.901,5.192,2.5,4.128045993,4.473235294,Jennings and Warr 2003,
North Sea,58,9.5,13.323,5.192,2.5,4.614118418,4.891470588,Jennings and Warr 2003,
North Sea,58,10.5,14.136,5.192,2.5,4.929554163,5.130588235,Jennings and Warr 2003,
North Sea,58,11.5,13.924,5.192,2.5,4.844234857,5.068235294,Jennings and Warr 2003,
North Sea,58,12.5,13.708,5.192,2.5,4.759599668,5.004705882,Jennings and Warr 2003,
North Sea,59,5.5,11.017,7.003,2.5,3.495572417,3.680588235,Jennings and Warr 2003,
North Sea,59,6.5,11.758,7.003,2.5,3.719089086,3.898529412,Jennings and Warr 2003,
North Sea,59,7.5,11.417,7.003,2.5,3.614273042,3.798235294,Jennings and Warr 2003,
North Sea,59,8.5,11.499,7.003,2.5,3.639164129,3.822352941,Jennings and Warr 2003,
North Sea,59,9.5,12.48,7.003,2.5,3.953128503,4.110882353,Jennings and Warr 2003,
North Sea,60,5.5,10.282,6.015,2.5,3.492089972,3.755,Jennings and Warr 2003,
North Sea,60,6.5,11.291,6.015,2.5,3.780104227,4.051764706,Jennings and Warr 2003,
North Sea,60,7.5,11.681,6.015,2.5,3.898819374,4.166470588,Jennings and Warr 2003,
North Sea,60,8.5,12.85,6.015,2.5,4.283798749,4.510294118,Jennings and Warr 2003,
North Sea,60,9.5,12.542,6.015,2.5,4.177755937,4.419705882,Jennings and Warr 2003,
North Sea,60,11.5,12.896,6.015,2.5,4.299944499,4.523823529,Jennings and Warr 2003,
North Sea,61,5.5,10.244,4.77,2.5,3.721123843,4.11,Jennings and Warr 2003,
North Sea,61,6.5,11.695,4.77,2.5,4.142551361,4.536764706,Jennings and Warr 2003,
North Sea,61,7.5,11.287,4.77,2.5,4.018296165,4.416764706,Jennings and Warr 2003,
North Sea,61,8.5,12.365,4.77,2.5,4.357766479,4.733823529,Jennings and Warr 2003,
North Sea,61,9.5,13.579,4.77,2.5,4.789246053,5.090882353,Jennings and Warr 2003,
North Sea,61,10.5,12.336,4.77,2.5,4.348143077,4.725294118,Jennings and Warr 2003,
North Sea,62,5.5,11.093,4.527,2.5,4.005567543,4.431176471,Jennings and Warr 2003,
North Sea,62,6.5,11.787,4.527,2.5,4.21594525,4.635294118,Jennings and Warr 2003,
North Sea,62,7.5,11.658,4.527,2.5,4.175771913,4.597352941,Jennings and Warr 2003,
North Sea,62,8.5,10.936,4.527,2.5,3.959846717,4.385,Jennings and Warr 2003,
North Sea,62,9.5,12.027,4.527,2.5,4.292065337,4.705882353,Jennings and Warr 2003,
North Sea,62,10.5,12.192,4.527,2.5,4.345476152,4.754411765,Jennings and Warr 2003,
North Sea,62,11.5,12.657,4.527,2.5,4.501015151,4.891176471,Jennings and Warr 2003,
North Sea,63,5.5,10.065,4.993,2.5,3.63123098,3.991764706,Jennings and Warr 2003,
North Sea,63,6.5,10.694,4.993,2.5,3.804371587,4.176764706,Jennings and Warr 2003,
North Sea,63,7.5,10.613,4.993,2.5,3.781538853,4.152941176,Jennings and Warr 2003,
North Sea,63,8.5,11.354,4.993,2.5,3.996796737,4.370882353,Jennings and Warr 2003,
North Sea,63,9.5,12.92,4.993,2.5,4.50621434,4.831470588,Jennings and Warr 2003,
North Sea,63,10.5,12.878,4.993,2.5,4.491430113,4.819117647,Jennings and Warr 2003,
North Sea,63,11.5,13.701,4.993,2.5,4.794458411,5.061176471,Jennings and Warr 2003,
North Sea,64,5.5,9.263,5.042,2.5,3.414120473,3.741470588,Jennings and Warr 2003,
North Sea,64,6.5,11.317,5.042,2.5,3.976487006,4.345588235,Jennings and Warr 2003,
North Sea,64,7.5,10.616,5.042,2.5,3.773173244,4.139411765,Jennings and Warr 2003,
North Sea,64,8.5,12.376,5.042,2.5,4.310642477,4.657058824,Jennings and Warr 2003,
North Sea,64,9.5,12.481,5.042,2.5,4.345772323,4.687941176,Jennings and Warr 2003,
North Sea,64,10.5,13.517,5.042,2.5,4.714949125,4.992647059,Jennings and Warr 2003,
North Sea,65,5.5,9.526,4.956,2.5,3.496954252,3.844117647,Jennings and Warr 2003,
North Sea,65,6.5,11.8,4.956,2.5,4.140692809,4.512941176,Jennings and Warr 2003,
North Sea,65,7.5,12.062,4.956,2.5,4.223990893,4.59,Jennings and Warr 2003,
North Sea,65,8.5,11.12,4.956,2.5,3.934167855,4.312941176,Jennings and Warr 2003,
North Sea,65,9.5,11.707,4.956,2.5,4.111642559,4.485588235,Jennings and Warr 2003,
North Sea,65,10.5,11.653,4.956,2.5,4.094895754,4.469705882,Jennings and Warr 2003,
North Sea,66,5.5,10.716,5.846,2.5,3.646360694,3.932352941,Jennings and Warr 2003,
North Sea,66,6.5,12.291,5.846,2.5,4.12745331,4.395588235,Jennings and Warr 2003,
North Sea,66,7.5,11.692,5.846,2.5,3.935805393,4.219411765,Jennings and Warr 2003,
North Sea,66,8.5,12.26,5.846,2.5,4.117246171,4.386470588,Jennings and Warr 2003,
North Sea,66,9.5,13.125,5.846,2.5,4.415138686,4.640882353,Jennings and Warr 2003,
North Sea,66,10.5,12.381,5.846,2.5,4.157274081,4.422058824,Jennings and Warr 2003,
North Sea,67,5.5,9.539,4.824,2.5,3.524907901,3.886764706,Jennings and Warr 2003,
North Sea,67,6.5,11.188,4.824,2.5,3.978847286,4.371764706,Jennings and Warr 2003,
North Sea,67,7.5,10.307,4.824,2.5,3.728289078,4.112647059,Jennings and Warr 2003,
North Sea,67,8.5,11.219,4.824,2.5,3.98803394,4.380882353,Jennings and Warr 2003,
North Sea,67,9.5,11.68,4.824,2.5,4.127878733,4.516470588,Jennings and Warr 2003,
North Sea,67,10.5,12.844,4.824,2.5,4.511068317,4.858823529,Jennings and Warr 2003,
North Sea,68,5.5,8.193,4.752,2.5,3.210480977,3.512058824,Jennings and Warr 2003,
North Sea,68,6.5,11.142,4.752,2.5,3.978613684,4.379411765,Jennings and Warr 2003,
North Sea,68,7.5,9.822,4.752,2.5,3.611695257,3.991176471,Jennings and Warr 2003,
North Sea,68,8.5,10.336,4.752,2.5,3.749579302,4.142352941,Jennings and Warr 2003,
North Sea,68,9.5,12.197,4.752,2.5,4.305749585,4.689705882,Jennings and Warr 2003,
North Sea,68,10.5,12.499,4.752,2.5,4.405947776,4.778529412,Jennings and Warr 2003,
North Sea,68,11.5,12.455,4.752,2.5,4.391151261,4.765588235,Jennings and Warr 2003,
North Sea,69,5.5,10.041,5.617,2.5,3.505500123,3.801176471,Jennings and Warr 2003,
North Sea,69,6.5,10.145,5.617,2.5,3.533427646,3.831764706,Jennings and Warr 2003,
North Sea,69,7.5,9.799,5.617,2.5,3.441449576,3.73,Jennings and Warr 2003,
North Sea,69,8.5,10.285,5.617,2.5,3.571414244,3.872941176,Jennings and Warr 2003,
North Sea,69,11.5,12.094,5.617,2.5,4.10807259,4.405,Jennings and Warr 2003,
North Sea,70,5.5,9.796,5.703,2.5,3.423863614,3.703823529,Jennings and Warr 2003,
North Sea,70,6.5,10.446,5.703,2.5,3.598867737,3.895,Jennings and Warr 2003,
North Sea,70,7.5,7.987,5.703,2.5,2.982157258,3.171764706,Jennings and Warr 2003,
North Sea,70,8.5,9.768,5.703,2.5,3.416537266,3.695588235,Jennings and Warr 2003,
North Sea,70,9.5,12.175,5.703,2.5,4.117558928,4.403529412,Jennings and Warr 2003,
North Sea,70,10.5,11.959,5.703,2.5,4.047939581,4.34,Jennings and Warr 2003,
North Sea,70,11.5,11.684,5.703,2.5,3.961455477,4.259117647,Jennings and Warr 2003,
North Sea,72,5.5,9.763,5.882,2.5,3.379975879,3.641470588,Jennings and Warr 2003,
North Sea,72,6.5,10.389,5.882,2.5,3.547874898,3.825588235,Jennings and Warr 2003,
North Sea,72,7.5,10.404,5.882,2.5,3.552008913,3.83,Jennings and Warr 2003,
North Sea,72,8.5,9.965,5.882,2.5,3.433190785,3.700882353,Jennings and Warr 2003,
North Sea,72,9.5,12.474,5.882,2.5,4.181263882,4.438823529,Jennings and Warr 2003,
North Sea,72,10.5,12.625,5.882,2.5,4.232436476,4.483235294,Jennings and Warr 2003,
North Sea,72,11.5,11.871,5.882,2.5,3.984752848,4.261470588,Jennings and Warr 2003,
North Sea,73,5.5,10.334,5.611,2.5,3.585986356,3.889117647,Jennings and Warr 2003,
North Sea,73,6.5,10.136,5.611,2.5,3.5321699,3.830882353,Jennings and Warr 2003,
North Sea,73,7.5,10.67,5.611,2.5,3.6794502,3.987941176,Jennings and Warr 2003,
North Sea,73,8.5,10.729,5.611,2.5,3.696149563,4.005294118,Jennings and Warr 2003,
North Sea,73,9.5,12.077,5.611,2.5,4.103751991,4.401764706,Jennings and Warr 2003,
North Sea,73,10.5,11.926,5.611,2.5,4.055405121,4.357352941,Jennings and Warr 2003,
North Sea,73,11.5,12.35,5.611,2.5,4.193072657,4.482058824,Jennings and Warr 2003,
North Sea,73,12.5,12.77,5.611,2.5,4.3355874,4.605588235,Jennings and Warr 2003,
North Sea,74,5.5,9.116,5.494,2.5,3.291221196,3.565294118,Jennings and Warr 2003,
North Sea,74,6.5,10.933,5.494,2.5,3.777281388,4.099705882,Jennings and Warr 2003,
North Sea,74,7.5,11.178,5.494,2.5,3.848900072,4.171764706,Jennings and Warr 2003,
North Sea,74,8.5,11.045,5.494,2.5,3.809821195,4.132647059,Jennings and Warr 2003,
North Sea,74,9.5,11.753,5.494,2.5,4.023609482,4.340882353,Jennings and Warr 2003,
North Sea,74,10.5,11.742,5.494,2.5,4.02017548,4.337647059,Jennings and Warr 2003,
North Sea,74,11.5,11.91,5.494,2.5,4.073030901,4.387058824,Jennings and Warr 2003,
North Sea,74,12.5,12.698,5.494,2.5,4.333403662,4.618823529,Jennings and Warr 2003,
North Sea,74,13.5,13.282,5.494,2.5,4.541141863,4.790588235,Jennings and Warr 2003,
North Sea,75,5.5,9.62,5.002,2.5,3.51250889,3.858235294,Jennings and Warr 2003,
North Sea,75,6.5,9.313,5.002,2.5,3.434210876,3.767941176,Jennings and Warr 2003,
North Sea,75,7.5,10.958,5.002,2.5,3.878259797,4.251764706,Jennings and Warr 2003,
North Sea,75,8.5,10.16,5.002,2.5,3.655094451,4.017058824,Jennings and Warr 2003,
North Sea,75,9.5,11.35,5.002,2.5,3.993905386,4.367058824,Jennings and Warr 2003,
North Sea,75,10.5,11.991,5.002,2.5,4.192576261,4.555588235,Jennings and Warr 2003,
North Sea,75,12.5,12.445,5.002,2.5,4.341203017,4.689117647,Jennings and Warr 2003,
